"","run","sv_x","sv_y","sv_z","nv_x","nv_y","nv_z","hp_x","hp_y","hp_z","sp_x","sp_y","sp_z","Collision_speed","X","Y","Z","head","inc","speed","rotation","lag","seal_length","seal_width"
"47",2022,0,1.81876218318939,0,4.33776426315308,0,-7.60202169418335,-12.0448217391968,-0.305055290460587,-0.235259562730789,-12,-0.545309245586395,0,8.93950935931164,-1,-12,0,0,0,1.82,0.72780229725,3.62586,1.41,0.3
"48",2025,0,1.81876218318939,0,4.5902681350708,0,7.48152875900269,-12.0796947479248,-0.209697037935257,0.204605638980865,-12,0.15188305079937,0,8.96391278920355,-1,-12,0,0,0,1.82,0.72780229725,4.14384,1.41,0.3
"49",2027,0,1.81876218318939,0,4.53244209289551,0,7.45666408538818,-12.0089540481567,-0.245919898152351,0.206535428762436,-12,0.455010175704956,0,8.91362824916006,-1,-12,0,0,0,1.82,0.72780229725,4.48916,1.41,0.3
"50",2030,0,1.81876218318939,0,4.21932411193848,0,-7.63011264801025,-12.0009822845459,-0.0312718600034714,-0.000982239842414856,-12,0.697511911392212,0,8.90669480936331,-1,-12,0,0,0,1.82,0.72780229725,5.00714,1.41,0.3
"51",2031,0,1.81876218318939,0,-8.73019790649414,0,0.155962079763412,-12.0179243087769,0.543742299079895,-0.0932140648365021,-12,-0.333120226860046,0,8.91900075345782,-1,-12,0,0,0,1.82,0.72780229725,5.1798,1.41,0.3
"52",2037,0,1.81876218318939,0,-8.76253223419189,0,0.146022513508797,-12.0624008178711,0.700271844863892,-0.0599952712655067,-12,-0.029993174597621,0,8.95048564412937,-1,-12,0,0,0,1.82,0.72780229725,6.21576,1.41,0.3
"53",2046,0,1.81876218318939,0,4.21309089660645,0,-7.63319540023804,-12.0005512237549,-0.0341408997774124,-0.00055047869682312,-12,0.697511911392212,0,8.90638546756983,-1,-12,0,0,0,1.82,0.72780229725,7.7697,1.41,0.3
"54",2047,0,1.81876218318939,0,4.16463375091553,0,-7.66178894042969,-12.0030288696289,0.114863708615303,-0.000602204352617264,-12,-0.545309245586395,0,8.90814682688254,-1,-12,0,0,0,1.82,0.72780229725,7.94236,1.41,0.3
"55",2054,0,1.81876218318939,0,3.01797676086426,0,-8.16374397277832,-11.9500541687012,-0.1524817943573,0.845664024353027,-12,-0.363432943820953,1,8.89172609881983,-1,-12,1,0,0,1.82,0.72780229725,0.51798,1.41,0.3
"56",2061,0,1.81876218318939,0,2.79530310630798,0,-8.29354095458984,-12.0051536560059,0.00418531382456422,0.99484521150589,-12,-0.636247396469116,1,8.93892816990415,-1,-12,1,0,0,1.82,0.72780229725,1.7266,1.41,0.3
