X,Y,Z,head,inc,speed,flow,lag,seal_length,seal_width,run
-3,7,7.5,0,0,0.5,0.837758041,0.645,1.41,0.3,169716
-3,7,7.5,0,0,0.5,0.837758041,0.688,1.41,0.3,169717
-3,7,7.5,0,0,0.5,0.837758041,0.731,1.41,0.3,169718
-3,7,7.5,0,0,0.5,0.837758041,0.774,1.41,0.3,169719
-3,7,7.5,0,0,0.5,0.837758041,0.817,1.41,0.3,169720
-3,7,7.5,0,0,0.5,0.837758041,0.86,1.41,0.3,169721
-3,7,7.5,0,0,0.5,0.837758041,0.903,1.41,0.3,169722
-3,7,7.5,0,0,0.5,0.837758041,0.946,1.41,0.3,169723
-3,7,7.5,0,0,0.5,0.837758041,0.989,1.41,0.3,169724
-3,7,7.5,0,0,0.5,0.837758041,1.032,1.41,0.3,169725
-3,7,7.5,0,0,0.5,0.837758041,1.075,1.41,0.3,169726
-3,7,7.5,0,0,0.5,0.837758041,1.118,1.41,0.3,169727
-3,7,7.5,0,0,0.5,0.837758041,1.161,1.41,0.3,169728
-3,7,7.5,0,0,0.5,0.837758041,1.204,1.41,0.3,169729
-3,7,7.5,0,0,0.5,0.837758041,1.247,1.41,0.3,169730
-3,7,7.5,0,0,0.5,0.837758041,1.29,1.41,0.3,169731
-3,7,7.5,0,0,0.5,0.837758041,1.333,1.41,0.3,169732
-3,7,7.5,0,0,0.5,0.837758041,1.376,1.41,0.3,169733
-3,7,7.5,0,0,0.5,0.837758041,1.419,1.41,0.3,169734
-3,7,7.5,0,0,0.5,0.837758041,1.462,1.41,0.3,169735
-3,7,7.5,0,0,0.5,0.837758041,1.505,1.41,0.3,169736
-3,7,7.5,0,0,0.5,0.837758041,1.548,1.41,0.3,169737
-3,7,7.5,0,0,0.5,0.837758041,1.591,1.41,0.3,169738
-3,7,7.5,0,0,0.5,0.837758041,1.634,1.41,0.3,169739
-3,7,7.5,0,0,0.5,0.837758041,1.677,1.41,0.3,169740
-3,7,7.5,0,0,0.5,0.837758041,1.72,1.41,0.3,169741
-3,7,7.5,0,0,0.5,0.837758041,1.763,1.41,0.3,169742
-3,7,7.5,0,0,0.5,0.837758041,1.806,1.41,0.3,169743
-3,7,7.5,0,0,0.5,0.837758041,1.849,1.41,0.3,169744
-3,7,7.5,0,0,0.5,0.837758041,1.892,1.41,0.3,169745
-3,7,7.5,0,0,0.5,0.837758041,1.935,1.41,0.3,169746
-3,7,7.5,0,0,0.5,0.837758041,1.978,1.41,0.3,169747
-3,7,7.5,0,0,0.5,0.837758041,2.021,1.41,0.3,169748
-3,7,7.5,0,0,0.5,0.837758041,2.064,1.41,0.3,169749
-3,7,7.5,0,0,0.5,0.837758041,2.107,1.41,0.3,169750
-3,7,7.5,0,0,0.5,0.837758041,2.15,1.41,0.3,169751
-3,7,7.5,0,0,0.5,0.837758041,2.193,1.41,0.3,169752
-3,7,7.5,0,0,0.5,0.837758041,2.236,1.41,0.3,169753
-3,7,7.5,0,0,0.5,0.837758041,2.279,1.41,0.3,169754
-3,7,7.5,0,0,0.5,0.837758041,2.322,1.41,0.3,169755
-3,7,7.5,0,0,0.5,0.837758041,2.365,1.41,0.3,169756
-3,7,7.5,0,0,0.5,0.837758041,2.408,1.41,0.3,169757
-3,7,7.5,0,0,0.5,0.837758041,2.451,1.41,0.3,169758
-3,7,7.5,0,0,0.5,0.837758041,2.494,1.41,0.3,169759
-3,7,7.5,0,0,0.5,0.837758041,2.537,1.41,0.3,169760
